x,y,ConstructionSite,category,area,struct_name
2,14,0,1,1, Apartment
2,12,0,4,1, BandalgomCoffee
2,15,0,0,1,
2,11,0,0,1,
2,10,0,0,1,
2,8,1,0,1,
2,13,0,0,1,
1,8,0,0,1,
1,9,0,0,1,
1,11,0,0,1,
1,10,0,0,1,
1,12,0,0,1,
1,13,0,1,1, Apartment
1,14,0,2,1, Building
2,9,1,0,1,
4,12,0,0,1,
4,13,0,0,1,
4,14,0,0,1,
4,15,0,0,1,
4,8,1,0,1,
4,9,1,0,1,
4,10,0,0,1,
4,11,0,0,1,
3,10,0,0,1,
3,9,1,0,1,
3,8,1,0,1,
3,11,0,0,1,
3,14,0,2,1, Building
3,13,0,0,1,
3,12,0,4,1, BandalgomCoffee
3,15,0,0,1,
1,15,0,0,1,
5,14,0,0,1,
5,15,0,0,1,
5,13,0,0,1,
5,9,1,0,1,
5,10,0,0,1,
5,11,0,0,1,
5,8,1,0,1,
6,13,0,0,1,
6,12,0,0,1,
6,11,0,0,1,
6,10,0,0,1,
6,9,1,0,1,
6,8,1,0,1,
6,14,0,0,1,
5,12,0,0,1,
6,15,0,0,1,
7,8,1,0,1,
7,9,1,0,1,
7,10,1,0,1,
7,11,1,0,1,
7,12,1,0,1,
7,13,0,0,1,
7,14,0,0,1,
7,15,0,0,1,
